ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
MUSE_Volume_409,409,DERIVED,PARIETAL_GM,,,,,,,
MUSE_Volume_410,410,DERIVED,PARIETAL_WM,,,,,,,
MUSE_Volume_411,411,DERIVED,TEMPORAL_GM,,,,,,,
MUSE_Volume_412,412,DERIVED,TEMPORAL_WM,,,,,,,
MUSE_Volume_413,413,DERIVED,BASAL_GANGLIA_L,,,,,,,
MUSE_Volume_414,414,DERIVED,DEEP_GM_L,,,,,,,
MUSE_Volume_415,415,DERIVED,DEEP_WM_L,,,,,,,
MUSE_Volume_416,416,DERIVED,FRONTAL_GM_L,,,,,,,
MUSE_Volume_417,417,DERIVED,FRONTAL_WM_L,,,,,,,
MUSE_Volume_418,418,DERIVED,LIMBIC_GM_L,,,,,,,
MUSE_Volume_419,419,DERIVED,OCCIPITAL_GM_L,,,,,,,
MUSE_Volume_420,420,DERIVED,OCCIPITAL_WM_L,,,,,,,
MUSE_Volume_421,421,DERIVED,PARIETAL_GM_L,,,,,,,
MUSE_Volume_422,422,DERIVED,PARIETAL_WM_L,,,,,,,
MUSE_Volume_423,423,DERIVED,TEMPORAL_GM_L,,,,,,,
MUSE_Volume_424,424,DERIVED,TEMPORAL_WM_L,,,,,,,
MUSE_Volume_425,425,DERIVED,BASAL_GANGLIA_R,,,,,,,
MUSE_Volume_426,426,DERIVED,DEEP_GM_R,,,,,,,
MUSE_Volume_427,427,DERIVED,DEEP_WM_R,,,,,,,
MUSE_Volume_428,428,DERIVED,FRONTAL_GM_R,,,,,,,
MUSE_Volume_429,429,DERIVED,FRONTAL_WM_R,,,,,,,
MUSE_Volume_430,430,DERIVED,LIMBIC_GM_R,,,,,,,
MUSE_Volume_431,431,DERIVED,OCCIPITAL_GM_R,,,,,,,
MUSE_Volume_432,432,DERIVED,OCCIPITAL_WM_R,,,,,,,
MUSE_Volume_433,433,DERIVED,PARIETAL_GM_R,,,,,,,
MUSE_Volume_434,434,DERIVED,PARIETAL_WM_R,,,,,,,
MUSE_Volume_435,435,DERIVED,TEMPORAL_GM_R,,,,,,,
MUSE_Volume_436,436,DERIVED,TEMPORAL_WM_R,,,,,,,
MUSE_Volume_501,501,DERIVED,CORPUS_CALLOSUM,,,,,,,
MUSE_Volume_502,502,DERIVED,CEREBELLUM,,,,,,,
MUSE_Volume_503,503,DERIVED,DEEP_WM_GM,,,,,,,
MUSE_Volume_504,504,DERIVED,FRONTAL,,,,,,,
MUSE_Volume_505,505,DERIVED,LIMBIC,,,,,,,
MUSE_Volume_506,506,DERIVED,OCCIPITAL,,,,,,,
MUSE_Volume_507,507,DERIVED,PARIETAL,,,,,,,
MUSE_Volume_508,508,DERIVED,TEMPORAL,,,,,,,
MUSE_Volume_509,509,DERIVED,VENTRICLE,,,,,,,
MUSE_Volume_510,510,DERIVED,CEREBELLUM_L,,,,,,,
MUSE_Volume_511,511,DERIVED,DEEP_WM_GM_L,,,,,,,
MUSE_Volume_512,512,DERIVED,FRONTAL_L,,,,,,,
MUSE_Volume_513,513,DERIVED,LIMBIC_L,,,,,,,
MUSE_Volume_514,514,DERIVED,OCCIPITAL_L,,,,,,,
MUSE_Volume_515,515,DERIVED,PARIETAL_L,,,,,,,
MUSE_Volume_516,516,DERIVED,TEMPORAL_L,,,,,,,
MUSE_Volume_517,517,DERIVED,VENTRICLE_L,,,,,,,
MUSE_Volume_518,518,DERIVED,CEREBELLUM_R,,,,,,,
MUSE_Volume_519,519,DERIVED,DEEP_WM_GM_R,,,,,,,
MUSE_Volume_520,520,DERIVED,FRONTAL_R,,,,,,,
MUSE_Volume_521,521,DERIVED,LIMBIC_R,,,,,,,
MUSE_Volume_522,522,DERIVED,OCCIPITAL_R,,,,,,,
MUSE_Volume_523,523,DERIVED,PARIETAL_R,,,,,,,
MUSE_Volume_524,524,DERIVED,TEMPORAL_R,,,,,,,
MUSE_Volume_525,525,DERIVED,VENTRICLE_R,,,,,,,
MUSE_Volume_601,601,DERIVED,GM,,,,,,,
MUSE_Volume_604,604,DERIVED,WM,,,,,,,
MUSE_Volume_606,606,DERIVED,GM_L,,,,,,,
MUSE_Volume_607,607,DERIVED,WM_L,,,,,,,
MUSE_Volume_613,613,DERIVED,GM_R,,,,,,,
MUSE_Volume_614,614,DERIVED,WM_R,,,,,,,
MUSE_Volume_701,701,DERIVED,TOTALBRAIN,,,,,,,
MUSE_Volume_702,702,DERIVED,ICV,,,,,,,
